page,outbreak_id,start_date,end_date,latitude,longitude,location,epidemiological_unit,species,bird_type,susceptible,cases,deaths,killed_disposed,slaughtered_commercial,vaccinated,year,month,duration_days
75,0052300296,2023-11-05,2023-12-28,-7.61634,-78.0425,"TICAPAMPA, CAJABAMBA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,11,53
76,0262300160,2023-11-20,2023-12-22,-5.449965,-78.490353,"SALINAS, ARAMANGO, BAGUA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,11,32
77,0032300056,2023-10-22,2023-12-22,-3.516711,-80.274453,"AGUAS VERDES, AGUAS VERDES,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,10,61
78,0112300203,2023-10-26,2023-12-11,-12.066374,-75.285151,"CHUPACA, CHUPACA, CHUPACA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,10,46
79,0022300142,2023-09-18,2023-11-29,-5.759673,-78.431539,"BAGUA GRANDE, BAGUA GRANDE,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,9,72
80,0052300280,2023-10-12,2023-12-11,-7.6265,-78.0452,"CAJABAMBA, CAJABAMBA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,10,60
81,0052300260,2023-09-13,2023-11-21,-7.102885,-78.548323,"PLAN DE TUAL, CAJAMARCA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,9,69
82,0052300256,2023-09-22,2023-11-29,-7.4122,-78.50052,"EL TRIUNFO, LOS BAÑOS DEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,9,68
83,0052300252,2023-09-17,2023-11-06,-7.1919,-78.4841,"HUACARIZ GRANDE, CAJAMARCA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,9,50
84,0052300247,2023-09-11,2023-11-02,-7.191514,-78.483775,"HUACARIZ GRANDE, CAJAMARCA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,9,52
85,0282300051,2023-03-25,2023-10-13,-12.122073,-76.953161,"SAN JUAN DE MIRAFLORES, LIMA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,3,202
86,0282300132,2023-08-10,2023-11-14,-13.073405,-76.449584,"LAS PALMAS (LOS HUACONES),",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,8,96
87,0282300122,2023-07-29,2023-10-25,-11.973454,-76.981854,"SAN JUAN DE LURIGANCHO,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,7,88
88,0042200118,2022-12-10,2023-01-12,-6.76596,-79.96512,Localidad de San Jose,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,12,33
89,0042300061,2023-03-15,2023-07-26,-6.82376,-79.79836,"SAN PABLO, POMALCA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,3,133
90,0042300036,2023-02-13,2023-08-11,-6.43111,-79.46179,PICSI CALLE REAL 374,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2,179
91,0042300170,2023-05-08,2023-08-02,-6.50653,-79.96558,"LAGARTERA, MORROPE,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,5,86
92,0042300086,2023-03-10,2023-07-25,-6.54552,-79.97711,"ARBOLSOL PEDREGAL, MORROPE,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,3,137
93,0042300053,2023-02-27,2023-06-21,-6.55712,-79.98216,SAN ISIDRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2,114
94,0042300026,2023-02-08,2023-06-30,-6.90401,-79.8623,CIUDAD ETEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2,142
95,0042300312,2023-09-22,2023-11-27,-6.76172,-79.88893,"SAN PEDRO, PIMENTEL,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,9,66
96,0162300417,2023-10-23,2023-11-28,-12.230015,-76.898318,"PACHACAMAC, PACHACAMAC,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,10,36
97,0112300085,2023-07-26,2023-09-22,-11.352888,-75.66384,"ACOBAMBA, ACOBAMBA, TARMA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,7,58
99,0042300340,2023-10-07,2023-10-18,-6.97205,-79.57351,", SAN JOSE, LAMBAYEQUE,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,10,11
103,0052300200,2023-06-30,2023-08-21,-7.10436,-78.54707,"HUAMBOCANCHA ALTA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,6,52
